timestamp,message
1736766834726,"{""timestamp"": ""2025-01-13T11:13:54Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:13:54.675269\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""213.162.193.244\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""ap-southeast-1\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""300986c0-8a80-44f4-857d-22093a58bb02""}
"
1736766834875,"{""timestamp"": ""2025-01-13T11:13:54Z"", ""level"": ""INFO"", ""message"": ""Request through ap-southeast-1 successful with status 200"", ""logger"": ""root"", ""requestId"": ""300986c0-8a80-44f4-857d-22093a58bb02""}
"
1736766834876,"{""time"":""2025-01-13T11:13:54.876Z"",""type"":""platform.report"",""record"":{""requestId"":""300986c0-8a80-44f4-857d-22093a58bb02"",""metrics"":{""durationMs"":201.804,""billedDurationMs"":202,""memorySizeMB"":256,""maxMemoryUsedMB"":55},""status"":""success""}}"
1736766842653,"{""time"":""2025-01-13T11:14:02.653Z"",""type"":""platform.start"",""record"":{""requestId"":""2f6db31c-4a1c-40ea-8511-bdb1e4ed3817"",""version"":""$LATEST""}}"
1736766842653,"{""timestamp"": ""2025-01-13T11:14:02Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""2f6db31c-4a1c-40ea-8511-bdb1e4ed3817""}
"
1736766842654,"{""timestamp"": ""2025-01-13T11:14:02Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:14:02.654076\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""195.77.23.39\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""us-west-2\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""2f6db31c-4a1c-40ea-8511-bdb1e4ed3817""}
"
1736766842740,"{""timestamp"": ""2025-01-13T11:14:02Z"", ""level"": ""INFO"", ""message"": ""Request through us-west-2 successful with status 200"", ""logger"": ""root"", ""requestId"": ""2f6db31c-4a1c-40ea-8511-bdb1e4ed3817""}
"
1736766842741,"{""time"":""2025-01-13T11:14:02.741Z"",""type"":""platform.report"",""record"":{""requestId"":""2f6db31c-4a1c-40ea-8511-bdb1e4ed3817"",""metrics"":{""durationMs"":88.169,""billedDurationMs"":89,""memorySizeMB"":256,""maxMemoryUsedMB"":55},""status"":""success""}}"
1736766850296,"{""time"":""2025-01-13T11:14:10.296Z"",""type"":""platform.start"",""record"":{""requestId"":""a7d105da-097c-4215-9a40-d5131488ea30"",""version"":""$LATEST""}}"
1736766850297,"{""timestamp"": ""2025-01-13T11:14:10Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""a7d105da-097c-4215-9a40-d5131488ea30""}
"
1736766850297,"{""timestamp"": ""2025-01-13T11:14:10Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:14:10.297126\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""195.77.23.41\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""eu-west-1\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""a7d105da-097c-4215-9a40-d5131488ea30""}
"
1736766850420,"{""timestamp"": ""2025-01-13T11:14:10Z"", ""level"": ""INFO"", ""message"": ""Request through eu-west-1 successful with status 200"", ""logger"": ""root"", ""requestId"": ""a7d105da-097c-4215-9a40-d5131488ea30""}
"
1736766850421,"{""time"":""2025-01-13T11:14:10.421Z"",""type"":""platform.report"",""record"":{""requestId"":""a7d105da-097c-4215-9a40-d5131488ea30"",""metrics"":{""durationMs"":125.272,""billedDurationMs"":126,""memorySizeMB"":256,""maxMemoryUsedMB"":56},""status"":""success""}}"
1736766858003,"{""time"":""2025-01-13T11:14:18.003Z"",""type"":""platform.start"",""record"":{""requestId"":""cb8bee46-113d-4c9b-881a-0d0666fbc1eb"",""version"":""$LATEST""}}"
1736766858003,"{""timestamp"": ""2025-01-13T11:14:18Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""cb8bee46-113d-4c9b-881a-0d0666fbc1eb""}
"
1736766858004,"{""timestamp"": ""2025-01-13T11:14:18Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:14:18.004022\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""195.77.23.39\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""ap-southeast-1\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""cb8bee46-113d-4c9b-881a-0d0666fbc1eb""}
"
1736766858133,"{""timestamp"": ""2025-01-13T11:14:18Z"", ""level"": ""INFO"", ""message"": ""Request through ap-southeast-1 successful with status 200"", ""logger"": ""root"", ""requestId"": ""cb8bee46-113d-4c9b-881a-0d0666fbc1eb""}
"
1736766858134,"{""time"":""2025-01-13T11:14:18.134Z"",""type"":""platform.report"",""record"":{""requestId"":""cb8bee46-113d-4c9b-881a-0d0666fbc1eb"",""metrics"":{""durationMs"":131.268,""billedDurationMs"":132,""memorySizeMB"":256,""maxMemoryUsedMB"":56},""status"":""success""}}"
1736766865568,"{""time"":""2025-01-13T11:14:25.568Z"",""type"":""platform.start"",""record"":{""requestId"":""6c3647bf-4f77-48e8-bf98-160d6c288af7"",""version"":""$LATEST""}}"
1736766865569,"{""timestamp"": ""2025-01-13T11:14:25Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""6c3647bf-4f77-48e8-bf98-160d6c288af7""}
"
1736766865621,"{""timestamp"": ""2025-01-13T11:14:25Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:14:25.569518\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""213.162.193.244\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""ap-southeast-1\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""6c3647bf-4f77-48e8-bf98-160d6c288af7""}
"
1736766865722,"{""timestamp"": ""2025-01-13T11:14:25Z"", ""level"": ""INFO"", ""message"": ""Request through ap-southeast-1 successful with status 200"", ""logger"": ""root"", ""requestId"": ""6c3647bf-4f77-48e8-bf98-160d6c288af7""}
"
1736766865723,"{""time"":""2025-01-13T11:14:25.723Z"",""type"":""platform.report"",""record"":{""requestId"":""6c3647bf-4f77-48e8-bf98-160d6c288af7"",""metrics"":{""durationMs"":154.636,""billedDurationMs"":155,""memorySizeMB"":256,""maxMemoryUsedMB"":56},""status"":""success""}}"
1736766873188,"{""time"":""2025-01-13T11:14:33.188Z"",""type"":""platform.start"",""record"":{""requestId"":""d62d8afb-f341-4e9d-90ca-1510c0b38002"",""version"":""$LATEST""}}"
1736766873188,"{""timestamp"": ""2025-01-13T11:14:33Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""d62d8afb-f341-4e9d-90ca-1510c0b38002""}
"
1736766873189,"{""timestamp"": ""2025-01-13T11:14:33Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:14:33.189041\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""213.162.193.244\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""us-east-1\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""d62d8afb-f341-4e9d-90ca-1510c0b38002""}
"
1736766873319,"{""timestamp"": ""2025-01-13T11:14:33Z"", ""level"": ""INFO"", ""message"": ""Request through us-east-1 successful with status 200"", ""logger"": ""root"", ""requestId"": ""d62d8afb-f341-4e9d-90ca-1510c0b38002""}
"
1736766873320,"{""time"":""2025-01-13T11:14:33.320Z"",""type"":""platform.report"",""record"":{""requestId"":""d62d8afb-f341-4e9d-90ca-1510c0b38002"",""metrics"":{""durationMs"":132.391,""billedDurationMs"":133,""memorySizeMB"":256,""maxMemoryUsedMB"":56},""status"":""success""}}"
1736766880062,"{""time"":""2025-01-13T11:14:40.062Z"",""type"":""platform.start"",""record"":{""requestId"":""6cdd0926-d0e4-43af-b197-f504367a4cec"",""version"":""$LATEST""}}"
1736766880063,"{""timestamp"": ""2025-01-13T11:14:40Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""6cdd0926-d0e4-43af-b197-f504367a4cec""}
"
1736766880063,"{""timestamp"": ""2025-01-13T11:14:40Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:14:40.063385\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""195.77.23.41\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""ap-southeast-1\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""6cdd0926-d0e4-43af-b197-f504367a4cec""}
"
1736766880127,"{""timestamp"": ""2025-01-13T11:14:40Z"", ""level"": ""INFO"", ""message"": ""Request through ap-southeast-1 successful with status 200"", ""logger"": ""root"", ""requestId"": ""6cdd0926-d0e4-43af-b197-f504367a4cec""}
"
1736766880128,"{""time"":""2025-01-13T11:14:40.128Z"",""type"":""platform.report"",""record"":{""requestId"":""6cdd0926-d0e4-43af-b197-f504367a4cec"",""metrics"":{""durationMs"":65.563,""billedDurationMs"":66,""memorySizeMB"":256,""maxMemoryUsedMB"":56},""status"":""success""}}"
1736766887477,"{""time"":""2025-01-13T11:14:47.477Z"",""type"":""platform.start"",""record"":{""requestId"":""f511513d-036a-4e62-ab92-2223d2704e89"",""version"":""$LATEST""}}"
1736766887477,"{""timestamp"": ""2025-01-13T11:14:47Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""f511513d-036a-4e62-ab92-2223d2704e89""}
"
1736766887478,"{""timestamp"": ""2025-01-13T11:14:47Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:14:47.477796\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""213.162.193.244\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""us-west-2\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""f511513d-036a-4e62-ab92-2223d2704e89""}
"
1736766887606,"{""timestamp"": ""2025-01-13T11:14:47Z"", ""level"": ""INFO"", ""message"": ""Request through us-west-2 successful with status 200"", ""logger"": ""root"", ""requestId"": ""f511513d-036a-4e62-ab92-2223d2704e89""}
"
1736766887607,"{""time"":""2025-01-13T11:14:47.607Z"",""type"":""platform.report"",""record"":{""requestId"":""f511513d-036a-4e62-ab92-2223d2704e89"",""metrics"":{""durationMs"":130.179,""billedDurationMs"":131,""memorySizeMB"":256,""maxMemoryUsedMB"":56},""status"":""success""}}"
1736766895855,"{""time"":""2025-01-13T11:14:55.855Z"",""type"":""platform.start"",""record"":{""requestId"":""2a9e45b1-67be-47f7-90f8-98eb86c78c92"",""version"":""$LATEST""}}"
1736766895855,"{""timestamp"": ""2025-01-13T11:14:55Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""2a9e45b1-67be-47f7-90f8-98eb86c78c92""}
"
1736766895908,"{""timestamp"": ""2025-01-13T11:14:55Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:14:55.856040\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""195.77.23.39\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""ap-southeast-1\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""2a9e45b1-67be-47f7-90f8-98eb86c78c92""}
"
1736766895970,"{""timestamp"": ""2025-01-13T11:14:55Z"", ""level"": ""INFO"", ""message"": ""Request through ap-southeast-1 successful with status 200"", ""logger"": ""root"", ""requestId"": ""2a9e45b1-67be-47f7-90f8-98eb86c78c92""}
"
1736766895972,"{""time"":""2025-01-13T11:14:55.972Z"",""type"":""platform.report"",""record"":{""requestId"":""2a9e45b1-67be-47f7-90f8-98eb86c78c92"",""metrics"":{""durationMs"":116.951,""billedDurationMs"":117,""memorySizeMB"":256,""maxMemoryUsedMB"":56},""status"":""success""}}"
1736766905204,"{""time"":""2025-01-13T11:15:05.204Z"",""type"":""platform.start"",""record"":{""requestId"":""f817bd02-238b-4e17-991f-ead896f4eb53"",""version"":""$LATEST""}}"
1736766905204,"{""timestamp"": ""2025-01-13T11:15:05Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""f817bd02-238b-4e17-991f-ead896f4eb53""}
"
1736766905205,"{""timestamp"": ""2025-01-13T11:15:05Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:15:05.204848\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""195.77.23.39\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""us-west-2\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""f817bd02-238b-4e17-991f-ead896f4eb53""}
"
1736766905270,"{""timestamp"": ""2025-01-13T11:15:05Z"", ""level"": ""INFO"", ""message"": ""Request through us-west-2 successful with status 200"", ""logger"": ""root"", ""requestId"": ""f817bd02-238b-4e17-991f-ead896f4eb53""}
"
1736766905271,"{""time"":""2025-01-13T11:15:05.271Z"",""type"":""platform.report"",""record"":{""requestId"":""f817bd02-238b-4e17-991f-ead896f4eb53"",""metrics"":{""durationMs"":67.541,""billedDurationMs"":68,""memorySizeMB"":256,""maxMemoryUsedMB"":56},""status"":""success""}}"
